mol,sn,Mult,eV,nm,f,orb,tdmx,tdmy,tdmz,dips,tvdmx,tvdmy,tvdmz,dipsv,tmdmx,tmdmy,tmdmz,rotxx,rotyy,rotzz,R,EMangle,rotlxx,rotlyy,rotlzz,Rl
hod0362,1,Singlet,2.4392,508.29,0.0156,H-L:0.891;H-L1:0.027,-0.4176,0.2728,-0.1080,0.2604,0.0373,-0.0238,0.0072,0.0020,0.2182,-0.0111,-0.0441,0.4498,24.4810,38.8719,21.2676,35.98,64.4311,2.1320,-3.3714,21.0639
hod0363,1,Singlet,2.074,597.8,0.013,H-L:0.926,0.2280,0.4448,0.0757,0.2556,-0.0176,-0.0331,-0.0034,0.0014,0.1067,-0.3218,0.0094,42.6638,-7.9048,46.3676,27.0422,46.74,-17.2067,101.2150,-0.5020,27.8354
hod0364,1,Singlet,2.5255,490.92,0.0281,H-L:0.812;H1-L:0.061,0.1603,0.6518,-0.0574,0.4538,-0.0147,-0.0601,0.0028,0.0038,-0.1847,-0.0111,-0.1454,10.1490,4.7190,7.7029,7.5237,78.27,20.9369,5.1213,-5.9050,6.7177
hod0365,1,Singlet,2.5561,485.06,0.0476,H-L:0.864;H-L1:0.047,0.5908,0.6366,-0.0718,0.7594,-0.0534,-0.0598,0.0036,0.0064,-0.2417,0.0852,-0.5078,-4.9558,34.2727,15.8600,15.0589,82.44,100.9632,-38.3663,-25.7828,12.2714
hod0366,1,Singlet,2.8384,436.81,0.0315,H-L:0.813;H-L1:0.046,0.6327,0.1779,0.1440,0.4527,-0.0657,-0.0187,-0.0121,0.0048,-0.1782,0.2167,0.2708,-18.8227,26.3166,22.3264,9.9401,80.64,79.7432,-27.2515,-27.5786,8.3044
hod0367,1,Singlet,2.4204,512.25,0.0138,H-L:0.947,0.4604,0.1445,-0.0249,0.2334,-0.0392,-0.0118,0.0035,0.0017,0.0889,-0.0577,0.2861,7.8133,-3.1000,-19.1792,-4.8220,98.34,-28.9439,5.8968,5.0419,-6.0018
hod0368,1,Singlet,2.4019,516.18,0.0611,H1-L:0.48;H-L:0.298,0.1185,-1.0113,0.0309,1.0377,-0.0094,0.0905,-0.0007,0.0083,-0.1450,0.1442,0.1525,74.2293,3.1426,37.3197,38.2305,51.91,12.1560,103.1546,-3.3353,37.3251
hod0369,1,Singlet,2.4383,508.49,0.0071,H-L:0.931;H-L1:0.02,0.3012,-0.1547,-0.0636,0.1187,-0.0270,0.0140,0.0025,0.0009,0.0823,0.1382,0.0041,5.2676,-9.6629,2.2437,-0.7172,93.18,-17.5344,15.1223,0.1828,-0.7431
hod0370,1,Singlet,2.5074,494.48,0.0209,H-L:0.478;H1-L:0.36,-0.2696,0.5155,0.0403,0.3400,0.0227,-0.0470,-0.0006,0.0027,0.0495,0.0027,0.2948,8.5603,4.5623,-6.7382,2.1282,86.94,9.4431,-0.9777,-8.4000,0.0218
hod0371,1,Singlet,2.3815,520.61,0.0203,H-L:0.908,0.3032,-0.5020,-0.0585,0.3474,-0.0264,0.0440,0.0018,0.0026,-0.1923,0.0958,-0.2557,18.8447,13.0438,39.4794,23.7893,59.00,41.2389,33.9905,-10.5826,21.5489
